Subject,Start Date,Start Time,End Date,End Time,Description,Location
".JU-206-1 gr",2016-03-09,13:15,2016-03-09,15:00,"Husby Marianne ","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 forel torsd (minus uke 18)",2016-03-10,11:15,2016-03-10,13:00,"Andersen Otto","KRS B1 018 aud"
".ORG208-1 forel ",2016-03-10,13:15,2016-03-10,16:00,"Mersland Roy","KRS B1 018 aud"
".ORG209/ORG205 forel",2016-03-14,09:15,2016-03-14,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG209/ORG205 gr",2016-03-14,11:15,2016-03-14,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".JU-102-1 forel",2016-03-14,13:15,2016-03-14,15:00,"Fossner Stein V.","KRS B2 001 aud"
".JU-102-1 gr",2016-03-14,15:15,2016-03-14,17:00,"Fossner Stein V.","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 019"
".ME-108 for tirsd (minus uke 4)",2016-03-15,10:15,2016-03-15,12:00,"Andersen Otto","KRS B1 018 aud"
".ME-108 forel torsd (minus uke 18)",2016-03-17,11:15,2016-03-17,13:00,"Andersen Otto","KRS B1 018 aud"
".ORG208-1 forel ",2016-03-17,13:15,2016-03-17,16:00,"Mersland Roy","KRS B1 018 aud"
".BE-210-1 forel",2016-03-18,10:15,2016-03-18,12:00,"Egge Steinar","KRS B1 018 aud"
".BE-210-1 gr",2016-03-18,12:15,2016-03-18,15:00,"Egge Steinar","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 for tirsd (minus uke 4)",2016-03-29,10:15,2016-03-29,12:00,"Andersen Otto","KRS B1 018 aud"
".JU-206-1 forel",2016-03-30,10:15,2016-03-30,13:00,"Husby Marianne ","KRS B1 018 aud"
".JU-206-1 gr",2016-03-30,13:15,2016-03-30,15:00,"Husby Marianne ","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 forel torsd (minus uke 18)",2016-03-31,11:15,2016-03-31,13:00,"Andersen Otto","KRS B1 018 aud"
".ORG208-1 forel ",2016-03-31,13:15,2016-03-31,16:00,"Mersland Roy","KRS B1 018 aud"
".BE-210-1 forel",2016-04-01,10:15,2016-04-01,12:00,"Egge Steinar","KRS B1 018 aud"
".BE-210-1 gr",2016-04-01,12:15,2016-04-01,15:00,"Egge Steinar","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG209/ORG205 forel",2016-04-04,09:15,2016-04-04,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG209/ORG205 gr",2016-04-04,11:15,2016-04-04,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 for tirsd (minus uke 4)",2016-04-05,10:15,2016-04-05,12:00,"Andersen Otto","KRS B1 018 aud"
".JU-206-1 forel",2016-04-06,10:15,2016-04-06,13:00,"Husby Marianne ","KRS B1 018 aud"
".JU-206-1 gr",2016-04-06,13:15,2016-04-06,15:00,"Husby Marianne ","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 forel torsd (minus uke 18)",2016-04-07,11:15,2016-04-07,13:00,"Andersen Otto","KRS B1 018 aud"
".ORG208-1 forel ",2016-04-07,13:15,2016-04-07,16:00,"Mersland Roy","KRS B1 018 aud"
".BE-210-1 forel",2016-04-08,10:15,2016-04-08,12:00,"Egge Steinar","KRS B1 018 aud"
".BE-210-1 gr",2016-04-08,12:15,2016-04-08,15:00,"Egge Steinar","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG209/ORG205 forel",2016-04-11,09:15,2016-04-11,11:00,"Aas Tor Helge","KRS B1 018 aud"
".ORG209/ORG205 gr",2016-04-11,11:15,2016-04-11,13:00,"","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".JU-102-1 forel",2016-04-11,13:15,2016-04-11,15:00,"Fossner Stein V.","KRS B2 001 aud"
".JU-102-1 gr",2016-04-11,15:15,2016-04-11,17:00,"Fossner Stein V.","KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 019"
".ME-108 for tirsd (minus uke 4)",2016-04-12,10:15,2016-04-12,12:00,"Andersen Otto","KRS B1 018 aud"
".JU-206-1 forel",2016-04-13,10:15,2016-04-13,13:00,"Husby Marianne ","KRS B1 018 aud"
".JU-206-1 gr",2016-04-13,13:15,2016-04-13,15:00,"Husby Marianne ","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ME-108 forel torsd (minus uke 18)",2016-04-14,11:15,2016-04-14,13:00,"Andersen Otto","KRS B1 018 aud"
".ORG208-1 forel ",2016-04-14,13:15,2016-04-14,16:00,"Mersland Roy","KRS B1 018 aud"
".BE-210-1 forel",2016-04-15,10:15,2016-04-15,12:00,"Egge Steinar","KRS B1 018 aud"
".BE-210-1 gr",2016-04-15,12:15,2016-04-15,15:00,"Egge Steinar","KRS B2 016, KRS B2 017, KRS B2 018, KRS B2 019, KRS B2 021, KRS B2 022, KRS B2 023, KRS B2 024, KRS B2 026, KRS B2 027, KRS B2 028, KRS B2 029, KRS B2 031, KRS B2 032, KRS B2 033, KRS B3 002, KRS B3 003, KRS B3 005, KRS B3 012, KRS B3 013, KRS B3 014, KRS B3 016, KRS B3 017, KRS B3 018, KRS B3 021, KRS B3 019, KRS B3 022, KRS B3 023, KRS B3 024, KRS B3 026, KRS B3 027, KRS B3 028, KRS B3 029"
".ORG209/ORG205 forel",2016-04-18,09:15,2016-04-18,11:00,"Aas Tor Helge","KRS B1 018 aud"
